letter of the alphabet	ï»¿aabaa
nephron	kalettii
looking for food and drink	kallaa
forehead	kallacha
forerunner	kallachoo
direction	kallattii
waterfront	kallattii bishaanii
aspect	kallattoo
fish	kalluuna
green grass pasture	kaloo
rotational pasture	kaloo dabaree
tame pasture	kaloo namnuumee
permanent pasture	kaloo waaraa
communal pasture	kaloo walee
temporary pasture	kaloo yeroo
same as hoo'illaa	kalorii
creation	kalqa
creator	kalqaa
to create	kalquu
linear	kaltokkee
calculus	kaluu
differential calculus	kaluu addummaa
calculus of probability	kaluu tarii
integral calculus	kaluu wajjummaa
Thursday	Kamisa
Maundy Thursday	Kamisa faasigaa
whose	kan
oral	kan afaanii
academic	kan barumsaa
domestic	kan biyya keessaa
original	kan bu'uraa
to whom it may concern	kan dhimmi laaluuf
authentic	kan dhugaa
hereditary	kan diroo
idiomatic	kan dubbii dachaa
aquatic	kan garbaa
respiratory	kan hafuuraa
presumed	kan jedhamu
and so on	kan kana fafakkaatan
anonymous	kan maqaa dhoksaa
handful	kan qubaan lakkaawamu
introductory	kan seensaa
used	kan tajaajile
natural	kan uumamaa
creature	kan uumame
creator	kan uume
public	kan uummataa
annual	kan waggaa
poetic	kan walaloo
aboriginal	kan warbiyyaa
haphazard	kan yeroo
solar	kanaduu
same as qaamee	kanateeraa
purse	kandii
archaic	kandurii
bee	kanniisa
bubble bee	kanniisa guddayyaa
worker bee	kanniisa hojjattuu
bee keeping	kanniisa horsiiftuu
drone	kanniisa kormaa
queen bee	kanniisa mootuu
clotting	kantartuu
blood clotting	kantartuu dhiigaa
stellar	kanurjii
creation	kaqqii
to create	kaquu
creator	kaqxuu
sign post	kara-agarsiiftuu
passer-by	kara-dabraa
road	karaa
unpaved road	karaa awwaaraa
railway	karaa baaburaa
to construct a new road	karaa baasuu
different means	karaa biraa
back street	karaa cabsaa
barricade	karaa cufamaa
long distance	karaa dheeraa
shipping route or lane	karaa doonii
main road	karaa duraasaa
to repair a road	karaa haaromsuu
beaten track	karaa harame
street-cleaning	karaa hariinsa
all around	karaa hunda
a zigzag road	karaa jajallaa
highway	karaa konkolaataa
underpass	karaa lafjalaa
secondary road	karaa lammee
footpath	karaa miilaa
a straight road	karaa qajeelaa
pedestrian crossing	karaa qaxxaamura miilaa
crossroads	karaa qaxxaamuraa
cleared and graded country road	karaa usherrii
Milky Way	Karaa Waraabessaa
improper	karaamalee
karate	karaatee
cravat	karabaataa
bow-tie	karabillee
traveller	karadeemaa
keyway	karafurtuu
labyrinth	karamaa
billiards	karambollaa
candy	karameellaa
lumps	karannee
lumps of sugar	karannee shukkaaraa
lumps of salt	karannee soogiddaa
path	karattii
bag	karaxiitii
wheelbarrow	karetaa
windy drizzle	karfaffuu
wild pig	karkarroo
tank	karkarroyyaa
roast lamb	karkarsaa
two-way	karlamee
motorway	karmataa
wagon	karoollaa
plan	karoora
language planning	karoora afaanii
site plan	karoora bakkaa
foundation plan	karoora bu'uraa
business plan	karoora bunaqaa
departmental plan	karoora damiyyaa
economic plan	karoora dinagdee
floor plan	karoora diriirtoo
social planning	karoora gamtaa
a working plan or programme	karoora hojii
manpower planning	karoora humna namaa
family planning	karoora maatii
town planning	karoora magaalaa
regional planning	karoora naannoo
local planning	karoora reeraa
national plan	karoora sabaa
yearly plan	karoora waggaa
master-plan	karoora waltajjii
unplanned	karoora-dhabeessa
planned	karoora-qabeessa
planner	karooraa
projector	karoorataa
projection	karooratii
projector	karoorattoo
planned	karoorfamaa
layout	karoorree
to plan	karooruu
gate	karra
porter	karreegduu
goalkeeper	karrooyyee
index	kasaa
loss	kasaaraa
bankrupting	kasaarsaa
to be bankrupt	kasaaruu
extract	kashaa
lumpenproletariat	kashalabbee
bronchitis	kashoo
extraction	kashooma
to extract	kashuu
gentle	kasoo
cardigan	katara
tax-payer	kato-baaftuu
tax collector	kato-guurtuu
duty-free	kato-maleessa
taxable	kato-qabeessa
Catholic	Katolikii
Roman Catholic	Katolikii Roomaa
to catholicise	katolikoomsuu
Catholicism	katolikummaa
ceremonial supplies within the gadaa-system	katoo
domestic tax	katoo biyya keessaa
customs	katoo biyyalaa
income tax	katoo galii
tax on wages	katoo mindaa
property tax	katoo qabeenyaa
trade tax	katoo seedannoo
community charge	katoo waldoo
taxable	katoomfamaa
taxation	katoomfannoo
taxing-master	katoomsisaa
tax-collector	katoomsituu
to tax	katoomsuu
taxability	katoomummaa
rock	kattaa
crystalline rock	kattaa baalcii
bed rock	kattaa bu'uraa
volcanic rock	kattaa burkaanaa
acidic rock	kattaa dhangaggaawaa
parent rock	kattaa haadhoo
biochemical rock	kattaa kemikaala jiree
ignition rock	kattaa qabsiifamaa
sedimentary rock	kattaa siicetaa
rock salt	kattaa soogiddaa
rocky	kattaawaa
to become rocky	kattaawuu
cobbles	kattee
monastery	kawulaa
convent	kawulaa dubartii
hermit	kawuloo
cake	keekii
yellow flower	keelloo
yellow	keelluu
dark yellow	keelluu buulee
bright yellow	keelluu ifaa
wall	keenyana
an iron wall	keenyana sibiilaa
wall-less	keenyana-maleessaa
airhostess	keeroo
in	keessa
insider	keessa beekaa
repetition	keessa deebii
pulp cavity	keessa ilkaanii
extremism	keessa-kuta
extremist	keessa-kutttuu
inscribed	keessa-marfattoo
ultra	keessaa ba'aa
lining of a garment	keessoo
intrauterine	keessoo-gadameessaa
intradermal	keessoo-gogaa
intramuscular	keessoo-maashaa
guest	keessummaa
foreign guest	keessummaa biyyalaa
boarder	keessummaa hoteelaa
host	keessummeessaa
gastronomy	keessummeessii
to render hospitality	keessummeessuu
spy	keettoo
government secret agent	keettoo mootummaa
espionage	keettummaa
segment	keeyata
liver segment	keeyata tiruu
red soil	keeyifa
partisan	keeyiroo
gate	kellaa
customs post	kellaa seedannoo
domain	kellantaa
chemistry	kemika
electrochemistry	kemika eletrikaa
biochemistry	kemika jirree
agricultural chemistry	kemika qonnaa
chemical	kemikaala
bio-chemical	kemikaala jirree
chemist	kemituu
gift	kennaa
quotation of price	kennaa gatii
natural gift	kennaa uumamaa
God's gift	kennaa Waaqaa
legacy	kennaa wasiyyaa
provision	kennammii
favourable	kennataa
dose	kennii
medication	kennii qorichaa
per dose	kennii tokkoof
donor	kennituu
untalented	kenniyya-dhablee
talented	kenniyya-qabeessa
talent	kenniyyaa
skeleton	kerkerree
mat	keshaa
south	kibba
south-east	kibba bahaa
south-west	kibba lixaa
magnetic south	kibba maagineetaa
southern	kibbaa
Antarctic	Kibbacabbii
same as ichimmee	kibriitii
Tuesday	Kibxata
to be infantile	kichoomuu
the state of being bud 2) infantilism	kichummaa
bud	kichuu
measurable	kiilamaa
kilogram	kiilograama
kilometre	kiilomeetira
kilo	kiiloo
kilowatt	kiilowaatii
to weigh	kiiluu
same as ukoo	kiisha
Kalashnikov	kilaashii
catchment	kiliwwee
hard soil	kilkila
abstract	killiyyaa
trap	kilooba
fisherman	kiloobaa
fishery	kiloobummaa
to fish	kiloobuu
chlorine	kiloriinii
tin can	kimboo
aspirin	kiniinii
contraceptive pill	kiniinii gurdoo
small lamp	kinnaara
1) rent	kiraa
to rent	kiraa fudhachuu
daily rent	kiraa guyyaa
house rent	kiraa manaa
a lyre with six strings	kiraara
renting	kireefannaa
to rent	kireeffachuu
things or animals which can be rented	kireeffamaa
tenant	kireeffataa
cream	kireema
skin cream	kireema dhagnaa
face cream	kireema fuulaa
hand cream	kireema harkaa
landlord	kireessaa
to rent out	kireessuu
gymnastics	kiripphooo
Christian	Kiristaana
Christianity	Kiristaanummaa
baptism	Kiristinnaa
to baptise	kiristinnaa kaasuu
Christ	Kiristoo
book	kitaaba
Sacred Book	kitaaba qulqulluu
written	kitaabamaa
article	kitaabbii
calligraphy	kitaabbii harkaa
secretary	kitaabduu
bulletin	kitaabee
monthly journal	kitaabee ji'aa
technical journal	kitaabee ogummaa
yearbook	kitaabee waggaa
to write	kitaabuu
billion	kitila
myriad	kitilee
sacrifice	kittima
sacrificed	kittimamaa
sacrifice	kittimummaa
to sacrifice	kittimuu
wrench	kiyabbee
kiosk	kiyooskii
trapped	kiyyeeffamaa
trapper	kiyyeessaa
to trap	kiyyeessuu
trap	kiyyoo
wave trap	kiyyoo dambalii
trap of words	kiyyoo dubbii
sexual or heat performance of dogs	kiyyoo saree
same as dhasasa	kobaaltii
overcoat	kobbortaa
hard soil	koboobee
minced meat mixed with butter and spices	kochee
minced	kochifamaa
instrument used for mincing	kochiftuu
chopper	kochisaa
to mince	kochisuu
water-bottle	koddaa
rhombus	kofafree
comics	kofalchiisaa
small market	kofalee
boot	kofanii
cup	kokii
plastic cup	kokii laastikii
larynx	kokkee
mug	kokkii
knock	kokkofa
knock	kokkofuu
shell	kokorroo
cocktail	kokteela
castrated	kolaa
castration	kolaafama
emasculation	kolaasii
to castrate	kolaasuu
toy	kolachiiftuu
to perform	kolachuu
performance	kolata
actor	kolataa fareersaa
film actor	kolataa filmii
performer	kolataa
feature	kolatii
hilt	kolba
to be segregate	kolbamuu
button	kolbee
segregationist	kolbituu
segregation	kolboo
to segregate	kolbuu
same as loshaa	koleeraa
comedian	kolfisiiftuu
rat	kolisa
same as masolii	kolleejii
shuttle	kolloo
foreskin	kolofa
circle	kololoo
flirt	kolomsa
one who flirts	kolomsaa
to flirt	kolomsuu
one who helps somebody to colonise others	koloneeffachiisaa
to colonise	koloneeffachuu
colonialism	koloneeffannoo
coloniser	koloneeffataa
same as dagabaasa	kolonii
ambulance	komanfa
laptop	komarkaa
complaint	komii
same as agarsootee	kompaasii
computer	kompuutara
modern computer	kompuutara ammayyaa
computerised	kompuutareeffamaa
to computerise	kompuutareessuu
same as walticha	komunistii
condom	kondooma
bachelor	konfoleessa
driver	konkolaachisaa
make to roll	konkolaachisuu
game played by children by rolling down a slope	konkolaachoo
to roll	konkolaachuu
vehicle	konkolaataa
motor ambulance	konkolaataa dhukkubsataa
van	konkolaataa fe'iisaa
dustcart	konkolaataa gattaa
combine	konkolaataa haamaa
goods truck	konkolaataa meeshaa
luggage van	konkolaataa miyakaraa
trolley car	konkolaataa motoraa
fork-lift truck	konkolaataa qoorbitoo
tractor	konkolaataa qotiisaa
combat vehicle	konkolaataa waraanaa
roller	konkolaattuu
car	konkolee
milk-float	konkolee aannanii
racing-car	konkolee fiigichaa
passenger car	konkolee imaltuu
sports car	konkolee ispoortii
a hired car	konkolee kiraa
private car	konkolee manaa
second-hand car	konkolee moofee
imported cars	konkolee olgalchii
hearse	konkolee reeffaa
armoured car	konkolee sibiilaa
police car	konkolee torobbee
bulletproof car	konkolee xiyyinurree
dinning-car	konkollee dhiyaanaa
aquiline nose	konkona
ridge	konona
soil ridge	konona biyyee
oceanic ridge	konona maanyaa
parallel range	konona waltarree
contract	kontiraata
bank account	kontoo
current account	kontoo ammee
previous account	kontoo durii
deposit account	kontoo kuusii
saving account	kontoo qusannoo
cognac	konyaakii
cupping glass	koobaa
hilly	koobawaa
bloodletting	koobbaa
anthill	koobee
small hill	koobii
ice-berg	koobii cabbii
sand-hill	koobii cirrachaa
dung-hill	koobii dikee
mole hill	koobii tuqaa
to cup	koobuu
brothers or sisters	koodee
same as matee	koofiyyaa
coca cola	kooka kollaa
peach	kookii
wing	koola
fin	koola qurxummii
asylum seeker	koolo-galtuu
asylum	kooloo
to seek asylum	kooloo galuu
dependent person	kooluu
high heel shoes	koomedheertuu
heel	koomee
high heel	koomee dheeraa
flat heel	koomee diriiraa
butt	koomee qawwee
honeycomb	koomtoo
swimming-pool	koonnee
indoor swimming-pool	koonnee mana keessaa
widower	koonnisa
widow	koonnisee
pond	koonnoo
swimming-pool	koonnoo daakkii
animals which live in ponds	koontuu
district	koonyaa
border district	koonyaa daangaa
constituency	koonyaa filmaataa
urban district	koonyaa magaalaa
saddleless	koora-dhabeessa
saddle	kooraa
saddle shaped things	kooraa fakkaattuu
European saddle	kooraa Faranjii
saddler	kooraa tolchituu
saddle	koorayyaa
soup	koosara
vegetable soup	koosara fudiraa
gorilla	kootee
black soil	kooticha
coat	kootii
woollen coat	kootii booftaa
leather coat	kootii kaldhee
hermit	kophagaleessa
bootblack	kophe-haqxuu
shoeshine boy	kophe-haxooftuu
shoemaker	kophe-hoddhituu
barefoot	kophe-maleessa
shoes	kophee
sandals	kophee banaa
ladies shoes	kophee dubartii
horse-shoes	kophee fardaa
leather shoes	kophee gogaa
rubbers	kophee laastikii
slippers	kophee manaa
canvas-shoes	kophee sharaa
riding-boots	kophee yaabbii
loneliness	kophummaa
pencil	kopphii
assembly	kora
federal council	kora atoomaa
seminar	kora barumsaa
general assembly	kora dimshaashaa
municipal council	kora magaalaa
yearly congress	kora waggaa
court session	koramurtii
male sheep	korbeessa
ram	korbeessa hoolaa
he-goat	korbeessa re'ee
round	korbo
circle	korbobbee
multiform	korbodanee
form	korboo
form	korboo
page number format	korboo lakkoofsa fuulee
form of a letter	korboo xalayaa
committee	koree
cultural committee	koree aadaa
sub-committee	koree birkii
vigilance committee	koree eeggannaa
anti-war committee	koree farra-waraanaa
editorial board	koree gulaaltuu
organising committee	koree gurmeessituu
executive committee	koree hojii raawwachiiftuu
Security Council	Koree Nageenya Biyyalafaa
human right's committee	koree tabaroo ilma-namaa
supervision committee	koree towannoo
controlling committee	koree towattuu
central committee	koree waltajjii
small leather bag	korjoo
air bag	korjoo qilleensaa
tea-bag	korjoo shaayii
stirred	korkorfamaa
stir	korkorsa
stirrer	korkorsaa
to stir	korkorsuu
male species	korma
male animal	kormaa
cock	kormaa lukkuu
sexual intercourse	kormaata
wart	kormammuu
a brave person	kormee
gender	kornaaya
male gender	kornaaya kormee
female gender	kornaaya naayee
asexual	kornaaya-malee
bisexual	kornalamee
soldier	koromtoo
alligator	koronguddaa
ankle	koroony'oo
grass hopper	koropphisa
electricity	korreentii
open circuit	korreentii banaa
alternating current	korreentii garagaltuu
magnetic-electricity	korreentii maagineetaa
active current	korreentii qaruutii
electrician	korreentuu
tunnel	korreessa
same as bartii	korsii
lift	korsiiftuu
scaffold	kortoo
to mount	koruu
humus	kosbiyyee
power of nourishment	koshee
manure	kosii
loam soil	kotobee
stiff	kottaawa
stiffed	kottaawaa
to become stiff	kottaawuu
aerial yam	kottarree
hoof trimares	kotte-qortuu
equines	kotteduudaa
hoof	kottee
hoof	kottee fardaa
to squat	kottoonfachuu
squat	kottoonfannaa
squatter	kottoonfataa
comma	kottoonfee
ball	kubbaa
handball	kubbaa harkaa
football	kubbaa miilaa
table-tennis	kubbaa minjaalaa
volleyball	kubbaa saaphanaa
cannon ball	kubbaa sibiilaa
basket ball	kubbaa tayee
same as dhaabbayyaa	kubbaaniyyaa
same as kokkii	kubbaayyaa
encyclopaedia	kubee
cube	kuboo
cubic metre	kuboo meetiraa
knot	kuburee
swelling	kuburroo
knob	kuburuu
small	kuchubbii
sonnet	kudhafriitee
dozen	kudhalamee
gross	kudhalamee kudhalamaanii
biweekly	kudharfanee
communicable	kudhiblee
fruit	kudiraa
fruits and vegetables	kudiraa fi fudiraa
fluctuation	kufaa-ka'ii
fluctuations	kufaa-ka'ii gatii
fall	kufaatii
downfall of colonialism	kufaatii dagabaasummaa
downfall of the oppressors	kufaatii roorrisaa
downfall of the old system	kufaatii sirna moofaa
free fall	kufaatii walaabaa
to fall	kufuu
proportion	kukkuta
rich peasant	kulaaka
timber	kulaata
conference	kulanoo
young of a lion	kulbee
lukewarm	kuleela
coolie	kulii
inflammation	kulkula
suppuration	kulkulloo
to inflame	kulkuluu
major	kumaala
million	kumaatama
battalion	kumannoo
disc	kumbaa
hard drive	kumbaa cimtuu
compact disc	kumbaa dhifamtuu
floppy disc	kumbaa laaftuu
Elephant trunk	kumbii
bulb	kumbulluu
wet and dry bulb	kumbulluu jiidhaa fi goggogaa
electric bulb	kumbulluu korreentii
neon bulb	kumbulluu niyoonii
thousands	kumoota
quintal	kumtaala
long and hard journey	kunnaa
conservation	kunuunsa
water conservation	kunuunsa bishaanii
hair style	kunuunsa mataa
saline	kuraa
salty	kuraawaa
salinisation	kureessa
ready	kurfaawaa
timetable	kurfee
schedule	kurfeessaa
preparation	kurfii
land preparation	kurfii lafaa
thesis	kurfiiya
ready	kurfoo
turtle dove	kurkuduu
toddler	kurkuraa
quarter	kurmaana
a quarter of wantaa land	kurmaana wantaa
quadrant	kurmaanee
corporal	kurnaala
corporalship	kurnaalummaa
of ten	kurnan
the Ten Commandments	kurnan seeraa
decade	kurnee
decimal	kurniitee
tithe	kurnoo
tens	kurnoota
salty water in craters	kuroo
same as gaasadii	kurraasii
snorer	kurruufaa
snore	kurruuffi
to snore	kurruufuu
chair	kursii
folding chair	kursii dachaatuu
cargo	kuruma
indigestion	kurumaa
indigestible	kurumaawaa
salinity	kurummaa
a small gazelle	kurupphee
triple jump	kurupphisa
ball	kururree
click	kuruucha
left clicking	kuruucha bitaa
double clicking	kuruucha lama
right clicking	kuruucha mirgaa
to click	kuruuchuu
class	kutaa
show-room	kutaa agarsiisaa
operating room	kutaa baqaqsoo
lesson	kutaa barumsaa
region	kutaa biyyaa
rest room	kutaa boqonnaa
hemisphere	kutaa dachee
bathroom	kutaa dhiqannaa
dining room	kutaa dhiyaanaa
sick-room	kutaa dhukkubsataa
parts of speech	kutaa dubbii
reading room	kutaa dubbisii
gadaa-grade	kutaa gadaa
bedroom	kutaa hirribaa
workshop	kutaa hojii
hotel room	kutaa hoteelaa
passenger cabin	kutaa imaltuu
life span	kutaa jireenyaa
guest-room	kutaa keessummaa
conference hall	kutaa kulanoo
continent	kutaa lafaa
subclass	kutaa maddee
quarter	kutaa magaalaa
classroom	kutaa mana barumsaa
courtroom	kutaa manseeraa
cloakroom	kutaa miyakaraa
dining room	kutaa nyaataa
single room	kutaa qeentee
chapel	kutaa sagadaa
drawing-room	kutaa sararree
reception hall	kutaa simannaa
game room	kutaa taphiisaa
cloakroom	kutaa uffataa
season	kutaa waggaa
age group	kutaa waggaa jireenyaa
emergency room	kutaa waldhaansa ariitii
army division	kutaa waraanaa
period	kutaa yeroo
organs of state power	kutaalee taayitaa mootummaa
continent	kutaasa
division	kutama
department of refugees	kutama baqattootaa
department of education	kutama barumsaa
phrase	kutama dubbii
health department	kutama fayyaa
cutting	kutannaa
determination	kutannoo
piece	kutata
determined person	kutataa
battalion	kutoo
to cut	kutuu
hunchbacked	kuubuu
intersection	kuuda
swelling of the stomach	kuudii
preservation	kuufama
accumulated	kuufamaa
residue	kuufannoo
store	kuufata
collector	kuuftuu
post-card collector	kuuftuu kaardii
stamps collector	kuuftuu qolayyaa
food preservative	kuuftuu soorataa
deep-rooted syphilis	kuukkoo
embroidered hem of cloth	kuula
kohl	kuulii
eye-liner	kuulii baalejaa
eyebrow pencil	kuulii nyaaraa
pigment	kuulloo
accumulation	kuusa
sound inventory	kuusa sagalee
collection	kuusaa
mineral deposit	kuusaa albuudaa
reservoir	kuusaa bishaanii
blood bank	kuusaa dhiigaa
gas jar	kuusaa gaasii
heat storage	kuusaa hoo'inaa
dictionary	kuusaa jichayyaalee
letter-box	kuusaa poostaa
gold reserve	kuusaa sabbuu
gene bank	kuusaa sanyundee
food preservative	kuusaa soorataa
anthology	kuusaa walaloo
glacier	kuusacabbii
Cush	Kuushii
saving	kuusii
gold reserves	kuusii sabbuu
to save	kuusuu
children's game of hiding	kuxuu
semester	kuyeba
colony of termites	kuyyiisa
termite hill	kuyyubboo
flood	laabaa
to flood	laabuu
blanket	laafa
softness	laafina
acacia senegal	laaftoo
palate	laagaa
hard palate	laagaa gawwee
soft palate	laagaa lallaafaa
larynx	laagee
to have burning pain	laalachuu
burning pain	laalata
top view	laalgubbaa
information	laallee
observation	laalloo
view	laaltoo
edge view	laaltoo xiyyoo
to be nursed	laamamuu
lamp	laambaa
nursing	laammii
person who takes care of the sick	laamtuu
to nurse	laamuu
indiarubber	laapphisii
a thick mud	laaqaa
alloy	laaqaa sibiilaa
swamp	laaqii
salty marsh	laaqii soogiddaa
crippled	laashoo
1) rubber band	laastikii
comma	laayira
inverted comma	laayira fannoo
generation	labata
baby	labba
diagonal	labbaa
diagonally	labbaan
a period of 40 years	labbii
side-view	labboo
lukewarm	labii
flame	labooba
wing	laboobaa
eyelashes	laboobaa ijaa
hindwing	laboobaa teellaa
same as mana yaalii	laboraatorii
proclamation	labsa
announcer	labsaa
declaration	labsii
declaration of war	labsii waraanaa
organ	labsituu
to proclaim	labsuu
shore	labuu
seashore	labuu garbaa
shore of a river	labuu lagaa
thermometer	ladaltuu
minimum thermometer	ladaltuu gadaantee
clinical thermometer	ladaltuu meefaa
maximum thermometer	ladaltuu olaantee
symbol	laddoo
the Muslim Symbol	laddoo Islaamaa
the Christian Symbol	laddoo Kiristaanaa
the Oromee Symbol	laddoo Oromee
land	lafa
burial-ground	lafa awwaalaa
grazing land	lafa bobbaa
woodland	lafa bosonaa
shelter	lafa bultii
grassy area	lafa caffee
sleeping place	lafa ciisichaa
range	lafa dheedichaa
private land	lafa dhuunfaa
wild region	lafa duwwaa
marketplace	lafa gabaa
fertile	lafa gabbataa
unfertile soil	lafa gawwii
workshop	lafa hojii
bushy area	lafa huttoo
municipal land	lafa magaalaa
grassland	lafa magaruu
a free zone	lafa moggaa
land owned by the Abessinian armed settlers in Oromoland and other southern regions	lafa nafxanyaa
fertile land	lafa qaljii
arable land	lafa qotiisaa
sacred place	lafa quftoo
dumping ground	lafa urguftii
battle-ground	lafa waraanaa
decimation	lafarraa duguugama
to decimate	lafarraa duguuguu
surface	lafayyaa
curved surface	lafayyaa doggee
territoriality	lafayyummaa
hydrosphere	lafbishee
invertebrates	lafe-maleessa
vertebrates	lafe-qabeessa
bone	lafee
frontal bone	lafee addaa
bare bones	lafee adii
hand bone	lafee barruu
scapula	lafee ceekuu
rib bone	lafee cinaachaa
collar bone	lafee dannoo
ulna	lafee dhundhumaa
backbone	lafee dugdaa
matatarsal bone	lafee faanaa
nasal bone	lafee funyaanii
arm bone	lafee harkaa
sternum	lafee harmaa
temporal bone	lafee illee
humerus	lafee irree
ankle bone	lafee koronyoo
zygomatic bone	lafee maddii
skull	lafee mataa
sacrum	lafee mo'oo
breastbone	lafee qomaa
finger bone	lafee qubaa
fish bone	lafee qurxummii
thigh-bone	lafee sarbaa
irrelevant	lafifoo
irrelevance	lafifooma
clandestine	lafjalee
cellar	lafjaloo
reptile	laflootuu
enclave	lafmaroo
foot passenger	lafoo
torrid	lafoowwaa
wonderland	lafraajii
geography	lafxii
river	laga
perennial river	laga barundaa
wooded river-valley	laga caakkaa
a river forming a border	laga daangaa
mature river	laga guutoo
terminal	lagaar
to abominate	lagachuu
anything under taboo	lagata
one who abominates	lagataa
to be abominated	lagatamuu
rivulet	lagattii
informal clothes	lagoo
taboo	laguu
wrist	lakatee
uncountable	lakkaala
controller	lakkaawaa
countable	lakkaawamaa
count	lakkaawumsa
to count	lakkaawuu
census	lakkaawwii
livestock census	lakkaawwii horii
census	lakkaawwii uummata
lesser bustard	lakkama
number	lakkoofsa
Arabic numbers	lakkoofsa Arabaa
atomic number	lakkoofsa atoomii
Abyssinian Calendar	lakkoofsa bara Abashaa
Oromo calendar	lakkoofsa bara Oromo
Gregorian (European) Calendar	lakkoofsa bara Oroppaa
statistics	lakkoofsa beekumsaa
telephone number	lakkoofsa bilbiltoo
coefficient	lakkoofsa bu'aa-fidaa
cardinal numbers	lakkoofsa bu'uraa
wave number	lakkoofsa dambalii
real number	lakkoofsa dhugee
infinite number	lakkoofsa dhumadhablee
expanding numbers	lakkoofsa diddiriiraa
page number	lakkoofsa fuulee
even number	lakkoofsa guutuu
mass number	lakkoofsa hangaa
licence number	lakkoofsa hayyammii
account number	lakkoofsa hedachiisaa
odd number	lakkoofsa hir'uu
fraction	lakkoofsa hirmaataa
ampere	lakkoofsa humna korreentii
whole number	lakkoofsa hundaa
entry number	lakkoofsa katabbii
mileage recorder	lakkoofsa kiilomeetiraa
number-plate	lakkoofsa konkolaataa
decimal number	lakkoofsa kurniitee
counting number	lakkoofsa lakkaawumsaa
house number	lakkoofsa manaa
complex number	lakkoofsa mirroo
area code number	lakkoofsa naannoo
coordinated number	lakkoofsa qindeeffamma
equality of numbers	lakkoofsa qixxeenyaa
job classification number	lakkoofsa ramaddii
Roman numbers	lakkoofsa Roomaa
Post-Office Box	lakkoofsa sanduuqa poostaa (L.S.P.)
genealogy	lakkoofsa sanyii
ordinal number	lakkoofsa tarree
astrology	lakkoofsa urjii
natural number	lakkoofsa uumaa
number of population	lakkoofsa uummataa
negative number	lakkoofsa waawwee
serial number	lakkoofsa walgaafaa
imaginary number	lakkoofsa yaaddii
calendar	lakkoofsa yeroo
make to count	lakkoofsisuu
binary counter	lakkooftulamee
calculator	lakkooftuu
decade counter	lakkooftuu barkurnee
twin	lakkuu
identical twins	lakkuu walfakkoo
blossom	lalisa
green and lush	lalisaa
to blossom	lalisuu
soft	lallaafaa
steel wool	lallaaffiftuu
softness	lallaafina
speech	lallaba
preach	lallaba amantii
funeral address	lallaba gaafa du'aa
proclamation of land reform	lallaba lafaa
governmental decree	lallaba mootummaa
orator	lallabaa
manifesto	lallabdoo
communist manifesto	lallabdoo komunistii
to make a speech	lallabuu
voice	lallee
to talk vulgarly	lallifachuu
vulgar language	lallifannaa
accent	lallii
compound	lamaanaa
pair	lamee
dichotomy	lameena
consul	lamii
a horse that has cut two teeth	lammacha
double	lammee
twice	lammeessoo
to double	lammeessuu
clan	lammii
foreign national	lammii biyyalaa
citizen of the world	lammii biyyalafaa
a citizen of Oromia	lammii Oromiyaa
the Oromo family stock	lammii Oromoo
assimilation	lammoomsa
to assimilate	lammoomsuu
clanship	lammummaa
cosmopolitanism	lammummaa biyyalafaa
triangulum star	lamoo
binary	lamootee
doublet	lamooyyee
age group	lamsa
two-third	lamsadee
to be paralysed	lamshaawwuu
one-fifth	lamshanee
a paralysed person	lamshee
poliomyelitis	lamsheessaa
diplomacy	lamummaa
to develop vitiligo	lamxaawuu
to cause to develop vitiligo	lamxeessuu
same as waashii	lamxii
wig	lancaa
Landrover	landirofaa
chest	lapphee
chills	laqaddii
complication	laqanyoo
fever	laqdaa
feverishness	laqdummaa
typhus	lashee
typhoid fever	lashee mar'imaanii
shoot	lashoo
lateral shoot	lashoo cinaa
flowering shoot	lashoo daraaraa
rumour	lasitii
flourish	lata
flourish	latee
eternal truth	latee dubbii
morpheme	latii
linear	latiinsa
prosperity	latina
bud	latoo
leaf-bud	latoo baalaa
lateral bud	latoo cinoo
bud union	latoo dabaltii
flower bud	latoo daraaraa
apical bud	latoo fiixee
apical meristem	latoo guddatuu
mixed bud	latoo makaa
naked bud	latoo qullaa
shoot	lattuu
to bud	latuu
to exist	lee'uu
resource	leecalloo
mineral resources	leecalloo albuudaa
national resources	leecalloo biyyaa
human resources	leecalloo namaa
fish resources	leecalloo qurxummii
natural resources	leecalloo uumaa
material resources	leecalloo wanneetaa
faction	leega
dome	leekkoo
nicotine	leelee
to praise	leellisuu
general name for bamboo's	leemmana
pilgrimage (pilgrim's journey to the land of abbaa muudaa	leemmoma
lion	leenca
Lenin	Leenin
Leninist	Leeninicha
Leninism	Leeninummaa
breaking in	leenjifama
trainee	leenjifamaa
training	leenjii
teacher training	leenjii barsiisotaa
vocational training	leenjii hojii
breaking in	leenjisa
gymnastics	leenjisa qaamaa
unskilled	leenjisa-dhablee
trained	leenjisa-qabeessa
trainer of a team	leenjisaa garoo
trainer	leenjisaa
same as doo'innee	leensii
boyfriend	leenyoo
agility	leepphisa
being	leetoo
bareback	leexoo
to humiliate	leeyyessuu
humiliation	leeyyoo
incense	libaanata
ceremonial whip	lichoo
rust	ligdii
glory	liiban
sponge	liifaa
same as olbaaftuu	liiftii
whirl	liila
thread	liilana
wick	liilana kurraasii
minimum	liillee
daily minimum temperature	liillee hoo'iyyaa guyyaa
to whirl	liiluu
submergence	liima
